ID,Date,Product,Price,Quantity,Total
S1,26/10/2019,Product B,71.66,1,71.66
S2,15/12/2022,Product C,21.74,7,152.18
S3,27/11/2019,Product A,27.98,10,279.8
S4,7/4/2020,Product D,93.96,7,657.72
S5,13/4/2022,Product C,21.33,4,85.32
S6,2/2/2022,Product D,87.29,1,87.29
S7,24/8/2019,Product D,36.81,7,257.67
S8,19/6/2022,Product D,42.72,1,42.72
S9,14/5/2019,Product D,97.38,3,292.14
S10,10/5/2020,Product D,79.85,10,798.5
S11,15/2/2020,Product D,66.71,6,400.26
S12,5/1/2022,Product DAB,45.24,9,407.16
S13,10/5/2022,Product C,48,4,192
S14,28/5/2019,Product B,91.95,5,459.75
S15,26/4/2019,Product A,59.09,4,236.36
S16,24/3/2020,Product C,74.03,2,148.06
S17,6/5/2021,Product D,77.24,7,540.68
S18,18/7/2022,Product A,46.5,10,465
S19,13/10/2019,Product B,87.87,7,615.09
S20,26/8/2020,Product B,67.11,6,402.66
S21,11/7/2022,Product A,66.27,4,265.08
S22,18/12/2020,Product D,86.23,8,689.84
S23,10/7/2020,Product D,39.18,1,39.18
S24,13/9/2019,Product A,83.13,3,249.39
S25,22/4/2020,Product C,53.23,8,425.84
S26,25/9/2019,Product A,71.24,10,712.4
S27,27/2/2022,Product C,40.19,5,200.95
S28,26/8/2020,Product C,82.75,6,496.5
S29,9/9/2022,Product A,44.78,4,179.12
S30,1/8/2019,Product D,94.51,1,94.51
S31,16/8/2019,Product B,32.11,10,321.1
S32,12/6/2021,Product C,58.7,5,293.5
S33,13/6/2019,Product B,73.64,7,515.48
S34,27/8/2022,Product C,91.32,5,456.6
S35,27/4/2019,Product D,92.95,3,278.85
S36,20/8/2021,Product B,67.09,9,603.81
S37,8/4/2022,Product A,53.06,1,53.06
S38,15/11/2020,Product D,66.46,7,465.22
S39,8/8/2022,Product C,94.65,5,473.25
S40,26/4/2022,Product D,15.52,6,93.12
S41,14/6/2019,Product D,26.44,1,26.44
S42,9/1/2019,Product B,37.33,2,74.66
S43,9/5/2019,Product B,31.48,5,157.4
S44,8/11/2021,Product A,89.51,2,179.02
S45,21/11/2020,Product D,49.32,4,197.28
S46,8/4/2022,Product B,77.84,3,233.52
S47,11/11/2019,Product D,46.87,4,187.48
S48,3/9/2021,Product D,60.02,1,60.02
S49,15/1/2021,Product B,58.91,10,589.1
S50,8/4/2022,Product D,17.77,1,17.77
S51,2/6/2019,Product C,50.3,5,251.5
S52,2/6/2020,Product A,52.89,5,264.45
S53,16/8/2019,Product A,65.39,5,326.95
S54,28/9/2020,Product B,95.01,3,285.03
S55,8/4/2019,Product D,10.94,3,32.82
S56,5/2/2022,Product C,31.09,6,186.54
S57,8/6/2022,Product A,32.94,6,197.64
S58,26/2/2021,Product D,58.22,5,291.1
S59,24/7/2022,Product A,29.41,9,264.69
S60,22/11/2021,Product C,38.79,2,77.58
S61,16/4/2019,Product D,10.71,4,42.84
S62,26/7/2020,Product D,17.39,8,139.12
S63,18/7/2020,Product C,56.85,6,341.1
S64,1/12/2019,Product C,35.71,8,285.68
S65,26/12/2020,Product D,17.99,7,125.93
S66,20/1/2020,Product C,30.07,1,30.07
S67,12/12/2020,Product B,44.24,10,442.4
S68,4/6/2020,Product B,24.82,1,24.82
S69,22/4/2019,Product A,80.42,9,723.78
S70,18/11/2022,Product C,78.62,9,707.58
S71,9/7/2021,Product C,84.43,5,422.15
S72,25/12/2019,Product D,54.98,4,219.92
S73,3/9/2022,Product C,20.37,6,122.22
S74,7/3/2020,Product C,43.51,6,261.06
S75,1/4/2022,Product C,78.74,5,393.7
S76,10/6/2019,Product B,93.37,1,93.37
S77,15/4/2022,Product A,11.83,8,94.64
S78,6/8/2020,Product B,39.78,3,119.34
S79,5/10/2021,Product A,26.66,6,159.96
S80,19/10/2019,Product B,70.63,9,635.67
S81,22/5/2021,Product C,85.77,3,257.31
S82,8/6/2020,Product C,99.19,5,495.95
S83,12/10/2022,Product D,98.38,9,885.42
S84,13/1/2021,Product C,72.71,9,654.39
S85,1/9/2019,Product D,67.11,1,67.11
S86,12/7/2020,Product A,68.21,7,477.47
S87,11/7/2021,Product D,89.88,2,179.76
S88,27/1/2020,Product B,62.32,7,436.24
S89,17/7/2020,Product A,33.38,2,66.76
S90,28/6/2019,Product A,72.95,2,145.9
S91,27/3/2020,Product B,81.21,1,81.21
S92,7/3/2020,Product A,87.01,2,174.02
S93,5/12/2022,Product C,35.77,8,286.16
S94,28/7/2019,Product C,54.12,9,487.08
S95,11/3/2022,Product B,53.47,6,320.82
S96,2/2/2021,Product C,80.24,5,401.2
S97,22/8/2019,Product C,55.82,5,279.1
S98,5/6/2022,Product B,25.78,9,232.02
S99,16/7/2020,Product C,68.97,7,482.79
S100,9/11/2020,Product B,18.68,3,56.04
S101,17/11/2022,Product C,22.06,9,198.54
S102,23/5/2019,Product A,20.9,10,209
S103,19/12/2022,Product B,96.43,7,675.01
S104,1/7/2019,Product A,61.66,9,554.94
S105,12/5/2021,Product A,40.16,5,200.8
S106,4/5/2022,Product A,57.44,4,229.76
S107,16/5/2020,Product C,85.24,4,340.96
S108,3/2/2022,Product D,66.32,3,198.96
S109,28/5/2022,Product D,42.54,1,42.54
S110,11/4/2020,Product A,78.2,4,312.8
S111,14/1/2019,Product C,94.1,6,564.6
S112,14/2/2022,Product B,57.37,7,401.59
S113,18/3/2020,Product D,25.77,1,25.77
S114,19/11/2021,Product B,88.32,4,353.28
S115,28/11/2020,Product B,74.74,9,672.66
S116,25/2/2019,Product A,36.01,1,36.01
S117,17/8/2021,Product A,23.53,3,70.59
S118,3/5/2021,Product B,14.11,8,112.88
S119,15/12/2022,Product C,23.42,3,70.26
S120,19/2/2022,Product A,87.87,9,790.83
